DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20121210,37.00,37.00,34.91,35.00,749378,0
20121211,35.05,35.69,34.95,35.32,1472086,0
20121212,35.25,35.25,33.09,33.36,2530442,0
20121213,33.50,34.24,32.61,33.80,4253303,0
20121214,33.90,34.08,32.65,33.00,4006673,0
20121217,33.50,37.07,32.51,33.40,5516963,0
20121218,33.40,34.68,32.95,34.43,3740536,0
20121219,34.80,34.82,33.73,34.25,1480328,0
20121220,34.50,34.50,33.85,34.32,1010326,0
20121221,34.29,35.35,34.20,35.35,1276538,0
20121224,35.60,35.60,34.60,35.25,286712,0
20121226,35.27,35.51,34.85,34.90,559872,0
20121227,35.37,35.37,33.20,34.97,915775,0
20121228,34.67,34.96,34.36,34.52,1085137,0
20121231,34.04,35.05,34.00,34.16,5740951,0
20130102,34.92,35.40,34.10,35.12,13767989,0
20130103,35.00,35.00,34.16,34.83,16739208,0
20130104,34.62,34.89,34.25,34.39,21372638,0
20130107,34.15,35.45,34.15,34.46,17897117,0
20130108,34.29,34.64,33.36,33.71,17863398,0
20130109,33.61,33.95,33.61,33.90,18800666,0
20130110,33.66,34.00,33.33,34.00,15660776,0
20130111,33.59,33.90,33.35,33.85,11191446,0
20130114,34.01,34.25,33.80,34.09,11584901,0
20130115,33.71,34.72,33.71,34.60,13042596,0
20130116,34.47,35.54,34.45,35.54,16512683,0
20130117,35.75,36.70,35.75,36.42,14426261,0
20130118,36.43,37.32,36.04,37.32,17844118,0
20130122,36.98,37.25,35.93,36.42,15809670,0
20130123,36.91,37.84,36.50,37.80,10981870,0
20130124,37.79,38.52,37.23,37.46,11327544,0
20130125,37.52,37.84,36.64,37.60,8935318,0
20130128,37.65,37.87,36.71,36.89,7140026,0
20130129,36.71,37.46,36.25,37.31,8839042,0
20130130,36.81,37.53,36.81,36.93,10842451,0
20130131,36.84,36.93,36.27,36.69,10720870,0
20130201,36.84,37.20,36.52,37.18,9528042,0
20130204,36.64,37.30,36.55,37.28,6347915,0
20130205,37.42,37.73,37.18,37.20,7284674,0
20130206,36.96,37.28,36.86,37.14,5738899,0
20130207,37.57,37.57,35.80,36.42,9874217,0
20130208,36.37,36.42,35.83,36.25,13859010,0
20130211,36.13,36.18,35.75,35.85,6032057,0
20130212,35.77,35.90,35.20,35.42,7473991,0
20130213,35.42,35.57,35.15,35.27,4860053,0
20130214,35.05,36.73,35.01,36.57,7570052,0
20130215,36.93,37.81,36.93,37.58,13296886,0
20130219,37.54,38.33,37.11,38.19,8292612,0
20130220,38.16,39.13,37.61,38.61,8096330,0
20130221,38.49,39.03,38.19,38.78,7261136,0
20130222,38.79,38.85,38.14,38.46,4490835,0
20130225,38.54,38.61,37.37,37.37,4665671,0
20130226,37.60,37.60,36.96,37.09,4462936,0
20130227,36.97,36.98,36.40,36.73,12238463,0
20130228,36.66,37.14,36.50,36.92,10322499,0
20130301,36.80,38.07,36.55,37.81,8929379,0
20130304,37.53,38.25,37.53,38.24,5420719,0
20130305,38.45,38.57,37.29,37.51,6650310,0
20130306,37.56,37.86,37.37,37.74,5489700,0
20130307,37.65,38.01,37.44,37.49,4442420,0
20130308,37.64,37.65,37.16,37.34,4114897,0
20130311,37.25,38.15,37.08,37.67,4614351,0
20130312,37.70,38.30,37.05,37.17,6524031,0
20130313,37.20,37.59,37.04,37.17,3710541,0
20130314,37.43,37.59,36.86,37.56,9864532,0
20130315,37.44,38.54,37.28,38.50,12208750,0
20130318,38.05,38.49,37.99,38.16,5178592,0
20130319,38.25,38.40,37.84,38.36,5108398,0
20130320,38.50,39.19,38.41,39.06,7073266,0
20130321,38.82,38.97,38.48,38.49,4738157,0
20130322,38.57,38.97,38.30,38.97,3323330,0
20130325,39.12,39.52,38.93,39.32,6064941,0
20130326,39.57,40.52,39.57,40.21,7249496,0
20130327,40.22,40.29,39.66,40.15,4275285,0
20130328,40.26,40.80,39.78,40.78,7264447,0
20130401,39.96,41.14,39.96,41.12,5739918,0
20130402,41.22,41.22,40.52,40.71,5510629,0
20130403,40.75,41.45,40.35,40.57,4122422,0
20130404,40.77,41.78,40.62,41.60,20688370,0
20130405,41.31,41.50,41.09,41.31,14091702,0
20130408,41.27,41.87,41.07,41.77,16449213,0
20130409,41.96,43.56,41.80,42.55,8674668,0
20130410,42.65,43.77,42.50,43.62,7815594,0
20130411,43.42,43.71,43.11,43.20,6494382,0
20130412,42.97,43.29,42.62,43.09,4202267,0
20130415,42.87,43.03,41.41,41.44,7153137,0
20130416,41.67,42.53,41.13,42.45,6999109,0
20130417,42.14,42.43,41.42,42.24,5046271,0
20130418,42.37,42.64,41.89,42.32,5008971,0
20130419,42.51,42.58,42.20,42.39,6493328,0
20130422,43.00,44.83,42.88,44.20,8531644,0
20130423,44.61,46.32,44.40,45.14,9380105,0
20130424,45.14,45.34,43.94,44.32,5541884,0
20130425,44.75,44.79,43.76,44.24,5237276,0
20130426,44.95,46.31,44.75,45.84,10100492,0
20130429,45.83,45.93,45.05,45.23,6025501,0
20130430,45.05,46.23,45.01,46.05,6799572,0
20130501,45.74,46.09,45.55,45.55,6399553,0
20130502,45.68,45.68,43.86,43.99,9651487,0
